image_names,Count_proplatelets,timepoints
180731_MS_C6_1-0000.tif,0.0,0000
180731_MS_C6_1-0001.tif,1.0,0001
180731_MS_C6_1-0002.tif,1.0,0002
180731_MS_C6_1-0003.tif,0.0,0003
180731_MS_C6_1-0004.tif,0.0,0004
180731_MS_C6_1-0005.tif,0.0,0005
180731_MS_C6_1-0006.tif,1.0,0006
180731_MS_C6_1-0007.tif,0.0,0007
180731_MS_C6_1-0008.tif,0.0,0008
180731_MS_C6_1-0009.tif,1.0,0009
180731_MS_C6_1-0010.tif,1.0,0010
180731_MS_C6_1-0011.tif,0.0,0011
180731_MS_C6_1-0012.tif,0.0,0012
180731_MS_C6_1-0013.tif,0.0,0013
180731_MS_C6_1-0014.tif,2.0,0014
180731_MS_C6_1-0015.tif,1.0,0015
180731_MS_C6_1-0016.tif,2.0,0016
180731_MS_C6_1-0017.tif,0.0,0017
180731_MS_C6_1-0018.tif,0.0,0018
180731_MS_C6_1-0019.tif,0.0,0019
180731_MS_C6_1-0020.tif,0.0,0020
180731_MS_C6_1-0021.tif,1.0,0021
180731_MS_C6_1-0022.tif,1.0,0022
180731_MS_C6_1-0023.tif,2.0,0023
180731_MS_C6_1-0024.tif,0.0,0024
180731_MS_C6_1-0025.tif,1.0,0025
180731_MS_C6_1-0026.tif,1.0,0026
180731_MS_C6_1-0027.tif,1.0,0027
180731_MS_C6_1-0028.tif,3.0,0028
180731_MS_C6_1-0029.tif,1.0,0029
180731_MS_C6_1-0030.tif,1.0,0030
180731_MS_C6_1-0031.tif,1.0,0031
180731_MS_C6_1-0032.tif,0.0,0032
180731_MS_C6_1-0033.tif,0.0,0033
180731_MS_C6_1-0034.tif,0.0,0034
180731_MS_C6_1-0035.tif,0.0,0035
180731_MS_C6_1-0036.tif,0.0,0036
180731_MS_C6_1-0037.tif,0.0,0037
180731_MS_C6_1-0038.tif,3.0,0038
180731_MS_C6_1-0039.tif,2.0,0039
180731_MS_C6_1-0040.tif,1.0,0040
180731_MS_C6_1-0041.tif,1.0,0041
180731_MS_C6_2-0000.tif,0.0,0000
180731_MS_C6_2-0001.tif,0.0,0001
180731_MS_C6_2-0002.tif,0.0,0002
180731_MS_C6_2-0003.tif,0.0,0003
180731_MS_C6_2-0004.tif,0.0,0004
180731_MS_C6_2-0005.tif,0.0,0005
180731_MS_C6_2-0006.tif,0.0,0006
180731_MS_C6_2-0007.tif,1.0,0007
180731_MS_C6_2-0008.tif,0.0,0008
180731_MS_C6_2-0009.tif,0.0,0009
180731_MS_C6_2-0010.tif,0.0,0010
180731_MS_C6_2-0011.tif,0.0,0011
180731_MS_C6_2-0012.tif,0.0,0012
180731_MS_C6_2-0013.tif,0.0,0013
180731_MS_C6_2-0014.tif,0.0,0014
180731_MS_C6_2-0015.tif,1.0,0015
180731_MS_C6_2-0016.tif,0.0,0016
180731_MS_C6_2-0017.tif,0.0,0017
180731_MS_C6_2-0018.tif,1.0,0018
180731_MS_C6_2-0019.tif,0.0,0019
180731_MS_C6_2-0020.tif,0.0,0020
180731_MS_C6_2-0021.tif,0.0,0021
180731_MS_C6_2-0022.tif,0.0,0022
180731_MS_C6_2-0023.tif,0.0,0023
180731_MS_C6_2-0024.tif,0.0,0024
180731_MS_C6_2-0025.tif,0.0,0025
180731_MS_C6_2-0026.tif,1.0,0026
180731_MS_C6_2-0027.tif,2.0,0027
180731_MS_C6_2-0028.tif,2.0,0028
180731_MS_C6_2-0029.tif,0.0,0029
180731_MS_C6_2-0030.tif,1.0,0030
180731_MS_C6_2-0031.tif,2.0,0031
180731_MS_C6_2-0032.tif,0.0,0032
180731_MS_C6_2-0033.tif,0.0,0033
180731_MS_C6_2-0034.tif,3.0,0034
180731_MS_C6_2-0035.tif,2.0,0035
180731_MS_C6_2-0036.tif,3.0,0036
180731_MS_C6_2-0037.tif,2.0,0037
180731_MS_C6_2-0038.tif,4.0,0038
180731_MS_C6_2-0039.tif,1.0,0039
180731_MS_C6_2-0040.tif,0.0,0040
180731_MS_C6_2-0041.tif,0.0,0041
180731_MS_C6_3-0000.tif,0.0,0000
180731_MS_C6_3-0001.tif,1.0,0001
180731_MS_C6_3-0002.tif,1.0,0002
180731_MS_C6_3-0003.tif,0.0,0003
180731_MS_C6_3-0004.tif,0.0,0004
180731_MS_C6_3-0005.tif,0.0,0005
180731_MS_C6_3-0006.tif,0.0,0006
180731_MS_C6_3-0007.tif,0.0,0007
180731_MS_C6_3-0008.tif,0.0,0008
180731_MS_C6_3-0009.tif,0.0,0009
180731_MS_C6_3-0010.tif,1.0,0010
180731_MS_C6_3-0011.tif,0.0,0011
180731_MS_C6_3-0012.tif,0.0,0012
180731_MS_C6_3-0013.tif,0.0,0013
180731_MS_C6_3-0014.tif,2.0,0014
180731_MS_C6_3-0015.tif,1.0,0015
180731_MS_C6_3-0016.tif,0.0,0016
180731_MS_C6_3-0017.tif,2.0,0017
180731_MS_C6_3-0018.tif,0.0,0018
180731_MS_C6_3-0019.tif,0.0,0019
180731_MS_C6_3-0020.tif,0.0,0020
180731_MS_C6_3-0021.tif,2.0,0021
180731_MS_C6_3-0022.tif,2.0,0022
180731_MS_C6_3-0023.tif,0.0,0023
180731_MS_C6_3-0024.tif,0.0,0024
180731_MS_C6_3-0025.tif,0.0,0025
180731_MS_C6_3-0026.tif,0.0,0026
180731_MS_C6_3-0027.tif,1.0,0027
180731_MS_C6_3-0028.tif,4.0,0028
180731_MS_C6_3-0029.tif,3.0,0029
180731_MS_C6_3-0030.tif,1.0,0030
180731_MS_C6_3-0031.tif,0.0,0031
180731_MS_C6_3-0032.tif,0.0,0032
180731_MS_C6_3-0033.tif,2.0,0033
180731_MS_C6_3-0034.tif,2.0,0034
180731_MS_C6_3-0035.tif,0.0,0035
180731_MS_C6_3-0036.tif,1.0,0036
180731_MS_C6_3-0037.tif,2.0,0037
180731_MS_C6_3-0038.tif,2.0,0038
180731_MS_C6_3-0039.tif,3.0,0039
180731_MS_C6_3-0040.tif,2.0,0040
180731_MS_C6_3-0041.tif,1.0,0041
180731_MS_C6_4-0000.tif,2.0,0000
180731_MS_C6_4-0001.tif,0.0,0001
180731_MS_C6_4-0002.tif,0.0,0002
180731_MS_C6_4-0003.tif,0.0,0003
180731_MS_C6_4-0004.tif,0.0,0004
180731_MS_C6_4-0005.tif,1.0,0005
180731_MS_C6_4-0006.tif,0.0,0006
180731_MS_C6_4-0007.tif,1.0,0007
180731_MS_C6_4-0008.tif,0.0,0008
180731_MS_C6_4-0009.tif,0.0,0009
180731_MS_C6_4-0010.tif,0.0,0010
180731_MS_C6_4-0011.tif,0.0,0011
180731_MS_C6_4-0012.tif,1.0,0012
180731_MS_C6_4-0013.tif,1.0,0013
180731_MS_C6_4-0014.tif,1.0,0014
180731_MS_C6_4-0015.tif,2.0,0015
180731_MS_C6_4-0016.tif,0.0,0016
180731_MS_C6_4-0017.tif,1.0,0017
180731_MS_C6_4-0018.tif,1.0,0018
180731_MS_C6_4-0019.tif,1.0,0019
180731_MS_C6_4-0020.tif,1.0,0020
180731_MS_C6_4-0021.tif,1.0,0021
180731_MS_C6_4-0022.tif,2.0,0022
180731_MS_C6_4-0023.tif,2.0,0023
180731_MS_C6_4-0024.tif,0.0,0024
180731_MS_C6_4-0025.tif,1.0,0025
180731_MS_C6_4-0026.tif,3.0,0026
180731_MS_C6_4-0027.tif,2.0,0027
180731_MS_C6_4-0028.tif,0.0,0028
180731_MS_C6_4-0029.tif,0.0,0029
180731_MS_C6_4-0030.tif,1.0,0030
180731_MS_C6_4-0031.tif,0.0,0031
180731_MS_C6_4-0032.tif,1.0,0032
180731_MS_C6_4-0033.tif,0.0,0033
180731_MS_C6_4-0034.tif,0.0,0034
180731_MS_C6_4-0035.tif,0.0,0035
180731_MS_C6_4-0036.tif,0.0,0036
180731_MS_C6_4-0037.tif,2.0,0037
180731_MS_C6_4-0038.tif,2.0,0038
