,ImageNumber,Node_1,Node_2,Distance,Node_1_xy,Node_2_xy,Node_1_Label,Node_2_Label,Node_1_Kind,Node_2_Kind
372074,41,1,2,3,"598, 0","600, 0",2,2,E,E
372075,41,4,5,3,"706, 0","708, 0",4,4,E,E
372076,41,6,7,4,"717, 0","720, 0",5,5,E,E
372077,41,3,9,3,"698, 0","699, 2",3,3,E,T
372078,41,11,11,9,"941, 2","941, 2",6,6,T,T
372079,41,11,12,2,"941, 2","942, 2",6,6,T,E
372080,41,13,15,3,"947, 2","945, 3",7,7,T,T
372081,41,14,15,2,"944, 3","945, 3",7,7,E,T
372082,41,9,17,3,"699, 2","700, 4",3,3,T,T
372083,41,18,19,6,"707, 4","712, 4",11,11,E,T
372084,41,10,20,9,"723, 2","715, 4",11,11,E,T
372085,41,19,20,4,"712, 4","715, 4",11,11,T,T
372086,41,22,22,8,"882, 5","882, 5",9,9,T,T
372087,41,21,23,2,"946, 4","945, 5",13,13,T,T
372088,41,13,24,4,"947, 2","947, 5",7,13,T,B
372089,41,21,24,2,"946, 4","947, 5",13,13,T,B
372090,41,23,24,3,"945, 5","947, 5",13,13,T,B
372091,41,17,25,3,"700, 4","701, 6",3,3,T,E
372092,41,22,26,2,"882, 5","881, 6",9,9,T,E
372093,41,27,27,7,"929, 6","929, 6",15,15,T,T
372094,41,23,28,2,"945, 5","944, 6",13,13,T,T
372095,41,28,28,9,"944, 6","944, 6",13,13,T,T
372096,41,16,29,4,"1236, 3","1236, 6",12,12,E,B
372097,41,27,31,2,"929, 6","930, 7",15,15,T,E
372098,41,29,32,3,"1236, 6","1234, 7",12,12,B,E
372099,41,30,34,3,"711, 7","709, 8",14,14,E,B
372100,41,35,36,4,"896, 8","899, 8",20,20,T,T
372101,41,33,37,3,"701, 8","703, 9",14,14,E,B
372102,41,34,37,8,"709, 8","703, 9",14,14,B,B
372103,41,34,38,2,"709, 8","708, 9",14,14,B,E
372104,41,40,40,5,"874, 9","874, 9",19,19,T,T
372105,41,40,44,2,"874, 9","873, 10",19,19,T,E
372106,41,29,46,5,"1236, 6","1236, 10",12,12,B,B
372107,41,41,46,6,"1231, 9","1236, 10",12,12,E,B
372108,41,42,47,2,"1242, 9","1241, 10",12,12,E,T
372109,41,35,49,19,"896, 8","879, 11",20,20,T,E
372110,41,36,50,20,"899, 8","917, 11",20,20,T,E
372111,41,51,51,5,"926, 11","926, 11",24,24,T,T
372112,41,51,52,3,"926, 11","928, 11",24,23,T,T
372113,41,52,52,8,"928, 11","928, 11",23,23,T,T
372114,41,45,53,3,"933, 10","935, 11",25,25,E,T
372115,41,53,54,4,"935, 11","938, 11",25,25,T,T
372116,41,54,55,2,"938, 11","939, 11",25,25,T,E
372117,41,46,56,2,"1236, 10","1237, 11",12,12,B,T
372118,41,47,56,5,"1241, 10","1237, 11",12,12,T,T
372119,41,47,57,2,"1241, 10","1241, 11",12,12,T,T
372120,41,56,57,5,"1237, 11","1241, 11",12,12,T,T
372121,41,47,58,13,"1241, 10","1250, 11",12,12,T,E
372122,41,57,58,13,"1241, 11","1250, 11",12,12,T,E
372123,41,37,60,4,"703, 9","702, 12",14,14,B,T
372124,41,56,61,2,"1237, 11","1238, 12",12,12,T,T
372125,41,57,62,2,"1241, 11","1240, 12",12,12,T,T
372126,41,61,62,3,"1238, 12","1240, 12",12,12,T,T
372127,41,60,63,2,"702, 12","701, 13",14,14,T,T
372128,41,64,64,5,"697, 14","697, 14",30,30,T,T
372129,41,60,65,3,"702, 12","703, 14",14,14,T,E
372130,41,62,67,3,"1240, 12","1241, 14",12,12,T,E
372131,41,64,68,3,"697, 14","699, 15",30,14,T,T
