DMSO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PPLT 1,,,,,,,,,,PPLT 2,,,,,,,,,,PPLT 3,,,,,,,,,
,Node_1,Node_2,Distance,Node_1_xy,Node_2_xy,Node_1_Label,Node_2_Label,Node_1_Kind,Node_2_Kind,,Node_1,Node_2,Distance,Node_1_xy,Node_2_xy,Node_1_Label,Node_2_Label,Node_1_Kind,Node_2_Kind,,Node_1,Node_2,Distance,Node_1_xy,Node_2_xy,Node_1_Label,Node_2_Label,Node_1_Kind,Node_2_Kind,
,7042,7100,6,"250, 660","245, 663",2041,2041,E,T,,4697,4698,3,"851, 410","853, 410",1349,1349,E,B,,7855,7859,3,"1135, 758","1137, 759",2260,2260,E,B,
,7100,7161,5,"245, 663","243, 666",2041,2041,T,T,,4698,4714,3,"853, 410","855, 412",1349,1349,B,B,,7859,7864,2,"1137, 759","1136, 760",2260,2260,B,E,
,7161,7203,5,"243, 666","239, 669",2041,2041,T,E,,4714,4724,4,"855, 412","858, 413",1349,1349,B,E,,7859,7893,10,"1137, 759","1144, 768",2260,2260,B,T,
,,,,,,,,,,16,4714,4761,5,"855, 412","855, 416",1349,1349,B,T,,7893,7895,2,"1144, 768","1145, 769",2260,2260,T,T,
,6904,6965,7,"249, 649","252, 655",1994,1994,E,T,,4761,4795,4,"855, 416","856, 419",1349,1349,T,T,,7895,7910,13,"1145, 769","1154, 775",2260,2260,T,B,
,6965,7004,4,"252, 655","253, 658",1994,1994,T,T,,4795,5072,17,"856, 419","859, 435",1349,1349,T,E,,7905,7910,4,"1151, 774","1154, 775",2260,2260,E,B,
,7004,7027,3,"253, 658","255, 659",1994,2045,T,T,,,,,,,,,,,36,7906,7910,2,"1155, 774","1154, 775",2260,2260,E,B,
,6955,7027,9,"262, 654","255, 659",2045,2045,E,T,,4539,4676,39,"852, 397","888, 408",1336,1336,E,T,,7910,7916,2,"1154, 775","1155, 776",2260,2260,B,E,
,7027,7043,2,"255, 659","256, 660",2045,2045,T,T,,4676,4677,5,"888, 408","892, 408",1336,1336,T,T,,,,,,,,,,,38
,7043,7043,6,"256, 660","256, 660",2045,2045,T,T,,4662,4684,4,"899, 407","896, 409",1336,1336,E,B,,7969,7999,13,"1155, 785","1166, 793",2281,2281,E,T,
,7059,7078,3,"260, 661","262, 662",2046,2046,E,T,,4677,4684,5,"892, 408","896, 409",1336,1336,T,B,,7999,8006,3,"1166, 793","1166, 795",2281,2281,T,T,
,7078,7079,5,"262, 662","266, 662",2046,2046,T,T,,4684,4830,13,"896, 409","893, 421",1336,1397,B,T,,8006,8019,14,"1166, 795","1174, 800",2281,2281,T,E,
,7079,7080,5,"266, 662","270, 662",2046,2046,T,E,,,,,,,,,,,66,,,,,,,,,,30
