,ImageNumber,Node_1,Node_2,Distance,Node_1_xy,Node_2_xy,Node_1_Label,Node_2_Label,Node_1_Kind,Node_2_Kind
12654,4,2,2,5,"608, 0","608, 0",1,1,B,B
12655,4,5,6,3,"640, 0","642, 0",4,4,E,E
12656,4,8,9,4,"686, 0","689, 0",6,6,E,B
12657,4,9,10,4,"689, 0","692, 0",6,6,B,E
12658,4,11,11,9,"698, 0","698, 0",7,7,B,B
12659,4,15,15,4,"1152, 0","1152, 0",9,9,B,B
12660,4,4,16,2,"627, 0","626, 1",2,2,E,T
12661,4,7,17,3,"647, 0","645, 1",5,5,E,T
12662,4,17,17,7,"645, 1","645, 1",5,5,T,T
12663,4,13,18,4,"1143, 0","1146, 1",9,9,E,T
12664,4,14,18,2,"1146, 0","1146, 1",9,9,E,T
12665,4,15,19,6,"1152, 0","1148, 1",9,9,B,T
12666,4,19,19,6,"1148, 1","1148, 1",9,9,T,T
12667,4,1,20,6,"603, 0","607, 2",1,1,E,B
12668,4,2,20,5,"608, 0","607, 2",1,1,B,B
12669,4,18,24,2,"1146, 1","1147, 2",9,9,T,T
12670,4,19,24,2,"1148, 1","1147, 2",9,9,T,T
12671,4,15,25,4,"1152, 0","1153, 2",9,9,B,E
12672,4,3,26,4,"621, 0","623, 3",2,2,E,T
12673,4,16,26,4,"626, 1","623, 3",2,2,T,T
12674,4,21,27,2,"634, 2","633, 3",3,3,T,T
12675,4,23,29,2,"870, 2","870, 3",10,10,E,B
12676,4,16,33,6,"626, 1","624, 4",2,2,T,T
12677,4,26,33,2,"623, 3","624, 4",2,2,T,T
12678,4,9,35,5,"689, 0","688, 4",6,6,B,B
12679,4,34,35,3,"686, 4","688, 4",6,6,T,B
12680,4,31,38,2,"619, 4","618, 5",12,12,E,T
12681,4,27,39,3,"633, 3","631, 5",3,3,T,E
12682,4,34,40,4,"686, 4","683, 5",6,6,T,T
12683,4,29,41,3,"870, 3","871, 5",10,10,B,E
12684,4,24,42,4,"1147, 2","1146, 5",9,9,T,B
12685,4,36,42,2,"1145, 4","1146, 5",9,9,E,B
12686,4,20,44,6,"607, 2","608, 6",1,1,B,B
12687,4,32,45,3,"621, 4","622, 6",2,2,E,B
12688,4,33,45,3,"624, 4","622, 6",2,2,T,B
12689,4,11,46,9,"698, 0","698, 6",7,7,B,B
12690,4,29,48,4,"870, 3","868, 6",10,10,B,B
12691,4,47,48,5,"864, 6","868, 6",10,10,B,B
12692,4,37,49,3,"1152, 4","1151, 6",14,14,E,B
12693,4,43,49,2,"1150, 5","1151, 6",14,14,E,B
12694,4,44,50,3,"608, 6","610, 7",1,1,B,E
12695,4,38,51,3,"618, 5","618, 7",12,12,T,T
12696,4,46,54,2,"698, 6","697, 7",7,7,B,E
12697,4,22,55,7,"704, 2","702, 7",7,7,E,B
12698,4,46,55,5,"698, 6","702, 7",7,7,B,B
12699,4,47,58,10,"864, 6","855, 7",10,10,B,B
12700,4,30,59,5,"604, 4","606, 8",1,1,E,T
12701,4,44,59,3,"608, 6","606, 8",1,1,B,T
12702,4,51,60,2,"618, 7","619, 8",12,12,T,T
12703,4,52,61,2,"623, 7","624, 8",13,13,T,T
12704,4,53,61,2,"625, 7","624, 8",13,13,E,T
12705,4,12,62,10,"706, 0","709, 8",8,8,E,B
12706,4,56,62,2,"708, 7","709, 8",8,8,E,B
12707,4,57,63,3,"846, 7","848, 8",10,10,E,B
12708,4,58,63,8,"855, 7","848, 8",10,10,B,B
12709,4,58,64,2,"855, 7","856, 8",10,10,B,E
12710,4,47,65,3,"864, 6","864, 8",10,10,B,E
12711,4,42,66,4,"1146, 5","1144, 8",9,9,B,E
12712,4,60,67,2,"619, 8","618, 9",12,12,T,E
12713,4,60,68,2,"619, 8","620, 9",12,12,T,E
12714,4,55,69,3,"702, 7","703, 9",7,7,B,B
12715,4,71,71,8,"600, 10","600, 10",15,15,T,T
12716,4,52,72,4,"623, 7","622, 10",13,13,T,T
12717,4,61,73,3,"624, 8","624, 10",13,13,T,B
12718,4,70,75,3,"844, 9","846, 10",10,10,E,B
12719,4,49,76,5,"1151, 6","1148, 10",14,14,B,T
12720,4,71,77,2,"600, 10","600, 11",15,15,T,E
12721,4,59,78,4,"606, 8","607, 11",1,1,T,T
12722,4,73,80,6,"624, 10","623, 11",13,17,B,B
12723,4,28,81,9,"641, 3","643, 11",11,11,E,T
12724,4,35,82,12,"688, 4","697, 11",6,6,B,E
12725,4,69,83,4,"703, 9","701, 11",7,7,B,E
